Moordwijze,Jaartal,Totaal,Jonger dan 15 jaar,15 tot 20 jaar,20 tot 30 jaar,30 tot 40 jaar,40 tot 50 jaar,50 tot 60 jaar,60 tot 70 jaar,70 tot 80 jaar,80 jaar of ouder
Ophangen / verwurgen / verstikken,2008,11,3,0,0,3,0,2,2,1,0
Ophangen / verwurgen / verstikken,2009,14,1,0,0,4,4,3,1,0,1
Ophangen / verwurgen / verstikken,2010,12,3,0,1,3,2,2,1,0,0
Ophangen / verwurgen / verstikken,2011,12,4,1,0,1,4,0,1,0,1
Doodslaan / schoppen,2008,14,5,0,1,0,2,1,0,2,3
Doodslaan / schoppen,2009,18,4,0,3,0,4,3,0,1,3
Doodslaan / schoppen,2010,17,5,1,2,2,1,3,2,1,0
Doodslaan / schoppen,2011,18,5,0,1,0,2,2,6,1,1
Vuurwapen,2008,37,0,0,9,11,11,5,1,0,0
Vuurwapen,2009,41,1,3,11,14,2,6,4,0,0
Vuurwapen,2010,33,3,3,6,8,6,3,3,1,0
Vuurwapen,2011,49,0,3,17,8,11,5,3,0,2
Steekwapen,2008,57,0,2,16,16,11,9,3,0,0
Steekwapen,2009,53,4,5,5,14,10,10,3,1,1
Steekwapen,2010,61,2,2,11,15,12,6,8,3,2
Steekwapen,2011,43,0,2,11,7,9,12,2,0,0
Slagwapen,2008,12,0,0,1,1,4,3,2,0,1
Slagwapen,2009,7,0,0,1,1,2,2,1,0,0
Slagwapen,2010,10,0,0,2,1,3,1,2,0,1
Slagwapen,2011,12,0,0,1,2,4,3,2,0,0
Overige wijze van moord en doodslag,2008,12,3,0,2,1,1,2,3,0,0
Overige wijze van moord en doodslag,2009,14,3,0,2,0,2,4,1,2,0
Overige wijze van moord en doodslag,2010,8,3,1,0,0,1,2,1,0,0
Overige wijze van moord en doodslag,2011,5,3,0,0,1,1,0,0,0,0
Onbekende wijze van moord en doodslag,2008,7,2,0,1,2,1,1,0,0,0
Onbekende wijze van moord en doodslag,2009,7,2,0,0,0,0,2,3,0,0
Onbekende wijze van moord en doodslag,2010,3,0,0,0,1,0,0,1,1,0
Onbekende wijze van moord en doodslag,2011,4,0,0,0,1,0,1,1,0,1